dist_code,month,sector,investment in cr,number_of_employees,Mmm,quarter,fiscal_year,district
14_1,2019-04-01,Engineering,2.32,15,Apr,Q1,2019,Mahabubnagar
19_1,2019-04-01,Engineering,0.625,13,Apr,Q1,2019,Adilabad
20_3,2019-04-01,Wood and Leather,0.2,8,Apr,Q1,2019,Rajanna Sircilla
20_3,2019-04-01,Textiles,0.2675,27,Apr,Q1,2019,Rajanna Sircilla
21_5,2019-04-01,Electrical and Electronic Products,0.12,5,Apr,Q1,2019,Mahabubabad
20_3,2019-04-01,Plastic and Rubber,0.15,4,Apr,Q1,2019,Rajanna Sircilla
20_3,2019-04-01,Paper and Printing,0.2,10,Apr,Q1,2019,Rajanna Sircilla
19_2,2019-04-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.03,3,Apr,Q1,2019,Nirmal
19_2,2019-04-01,Engineering,0.03,0,Apr,Q1,2019,Nirmal
20_3,2019-04-01,Food Processing,2.02,12,Apr,Q1,2019,Rajanna Sircilla
20_3,2019-04-01,Engineering,0.155,6,Apr,Q1,2019,Rajanna Sircilla
20_3,2019-04-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.62,28,Apr,Q1,2019,Rajanna Sircilla
23_1,2019-04-01,Plastic and Rubber,1.2916,19,Apr,Q1,2019,Nalgonda
23_1,2019-04-01,Pharmaceuticals and Chemicals,3.0,20,Apr,Q1,2019,Nalgonda
23_1,2019-04-01,Granite and Stone Crushing,0.82,30,Apr,Q1,2019,Nalgonda
23_1,2019-04-01,Food Processing,1.25,20,Apr,Q1,2019,Nalgonda
23_1,2019-04-01,Agro based incl Cold Storages,0.2,10,Apr,Q1,2019,Nalgonda
20_3,2019-04-01,Agro based incl Cold Storages,0.56,24,Apr,Q1,2019,Rajanna Sircilla
15_3,2019-04-01,Agro based incl Cold Storages,0.1952,5,Apr,Q1,2019,Vikarabad
15_3,2019-04-01,Food Processing,0.056,5,Apr,Q1,2019,Vikarabad
19_1,2019-04-01,"Cement, Cement & Concrete Products, Fly Ash Bricks",19.3702,99,Apr,Q1,2019,Adilabad
14_3,2019-04-01,Food Processing,0.2346,10,Apr,Q1,2019,Nagarkurnool
