dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
14_1,2019-04-01,4533,59236363,0,0,Apr,Q1,2019,Mahabubnagar
17_3,2019-04-01,4151,41508762,0,0,Apr,Q1,2019,Siddipet
20_3,2019-04-01,2116,23674170,0,0,Apr,Q1,2019,Rajanna Sircilla
21_5,2019-04-01,1089,15915285,0,0,Apr,Q1,2019,Mahabubabad
23_1,2019-04-01,6133,82593256,0,0,Apr,Q1,2019,Nalgonda
23_3,2019-04-01,7413,113680902,0,0,Apr,Q1,2019,Yadadri Bhuvanagiri
20_1,2019-04-01,2748,58308650,0,0,Apr,Q1,2019,Karimnagar
20_4,2019-04-01,1384,27467135,0,0,Apr,Q1,2019,Peddapalli
16_1,2019-04-01,5268,724238098,0,0,Apr,Q1,2019,Hyderabad
14_3,2019-04-01,2726,21804047,0,0,Apr,Q1,2019,Nagarkurnool
15_2,2019-04-01,14140,1080766807,0,0,Apr,Q1,2019,Medchal_Malkajgiri
21_6,2019-04-01,563,5688052,0,0,Apr,Q1,2019,Mulugu
22_2,2019-04-01,542,12610700,0,0,Apr,Q1,2019,Bhadradri Kothagudem
20_2,2019-04-01,1943,26031616,0,0,Apr,Q1,2019,Jagtial
14_2,2019-04-01,2074,17019180,0,0,Apr,Q1,2019,Jogulamba Gadwal
21_2,2019-04-01,947,10639865,0,0,Apr,Q1,2019,Warangal
22_1,2019-04-01,4088,89082890,0,0,Apr,Q1,2019,Khammam
17_2,2019-04-01,8316,418960714,0,0,Apr,Q1,2019,Sangareddy
23_2,2019-04-01,2692,45800865,0,0,Apr,Q1,2019,Suryapet
19_4,2019-04-01,585,8302945,0,0,Apr,Q1,2019,Kumurambheem Asifabad
19_3,2019-04-01,1620,24326193,0,0,Apr,Q1,2019,Mancherial
18_2,2019-04-01,2876,26367902,0,0,Apr,Q1,2019,Kamareddy
19_1,2019-04-01,1043,12672655,0,0,Apr,Q1,2019,Adilabad
14_5,2019-04-01,2091,13948976,0,0,Apr,Q1,2019,Narayanpet
14_4,2019-04-01,2355,19227636,0,0,Apr,Q1,2019,Wanaparthy
18_1,2019-04-01,4562,60415544,0,0,Apr,Q1,2019,Nizamabad
19_2,2019-04-01,1767,18940764,0,0,Apr,Q1,2019,Nirmal
21_1,2019-04-01,4186,120047007,0,0,Apr,Q1,2019,Hanumakonda
15_1,2019-04-01,29436,2026355727,0,0,Apr,Q1,2019,Rangareddy
17_1,2019-04-01,2205,30584778,0,0,Apr,Q1,2019,Medak
21_3,2019-04-01,2372,30706161,0,0,Apr,Q1,2019,Jangoan
15_3,2019-04-01,2259,26570227,0,0,Apr,Q1,2019,Vikarabad
21_2,2019-05-01,1230,15030867,0,0,May,Q1,2019,Warangal
18_2,2019-05-01,3352,26907600,0,0,May,Q1,2019,Kamareddy
20_2,2019-05-01,2312,29341793,0,0,May,Q1,2019,Jagtial
22_2,2019-05-01,782,12779175,0,0,May,Q1,2019,Bhadradri Kothagudem
21_6,2019-05-01,616,6059339,0,0,May,Q1,2019,Mulugu
19_3,2019-05-01,2260,33143566,0,0,May,Q1,2019,Mancherial
22_1,2019-05-01,5095,93397223,0,0,May,Q1,2019,Khammam
17_1,2019-05-01,2400,68953812,0,0,May,Q1,2019,Medak
17_3,2019-05-01,4478,49926112,0,0,May,Q1,2019,Siddipet
23_3,2019-05-01,8787,161615746,0,0,May,Q1,2019,Yadadri Bhuvanagiri
18_1,2019-05-01,5047,71038874,0,0,May,Q1,2019,Nizamabad
14_5,2019-05-01,1615,11855661,0,0,May,Q1,2019,Narayanpet
21_3,2019-05-01,2968,38073544,0,0,May,Q1,2019,Jangoan
20_1,2019-05-01,3029,60448065,0,0,May,Q1,2019,Karimnagar
19_1,2019-05-01,1092,15177385,0,0,May,Q1,2019,Adilabad
19_2,2019-05-01,1788,20714061,0,0,May,Q1,2019,Nirmal
23_1,2019-05-01,6592,90267315,0,0,May,Q1,2019,Nalgonda
14_3,2019-05-01,3471,25935850,0,0,May,Q1,2019,Nagarkurnool
17_2,2019-05-01,8494,425344246,0,0,May,Q1,2019,Sangareddy
19_4,2019-05-01,414,4902685,0,0,May,Q1,2019,Kumurambheem Asifabad
14_2,2019-05-01,2392,21224914,0,0,May,Q1,2019,Jogulamba Gadwal
14_4,2019-05-01,2809,20217773,0,0,May,Q1,2019,Wanaparthy
15_1,2019-05-01,31310,2027201202,0,0,May,Q1,2019,Rangareddy
16_1,2019-05-01,5210,754708131,0,0,May,Q1,2019,Hyderabad
14_1,2019-05-01,4301,73344601,0,0,May,Q1,2019,Mahabubnagar
20_4,2019-05-01,1554,27369396,0,0,May,Q1,2019,Peddapalli
20_3,2019-05-01,2097,23745502,0,0,May,Q1,2019,Rajanna Sircilla
21_1,2019-05-01,5395,151385340,0,0,May,Q1,2019,Hanumakonda
15_3,2019-05-01,2347,26915352,0,0,May,Q1,2019,Vikarabad
21_5,2019-05-01,1468,19541233,0,0,May,Q1,2019,Mahabubabad
15_2,2019-05-01,16036,1231074513,0,0,May,Q1,2019,Medchal_Malkajgiri
23_2,2019-05-01,3460,53073454,0,0,May,Q1,2019,Suryapet
14_5,2019-06-01,1701,12770293,0,0,Jun,Q1,2019,Narayanpet
20_1,2019-06-01,3276,63248165,0,0,Jun,Q1,2019,Karimnagar
17_3,2019-06-01,5625,50053613,0,0,Jun,Q1,2019,Siddipet
16_1,2019-06-01,5015,746210249,0,0,Jun,Q1,2019,Hyderabad
21_1,2019-06-01,4541,141468882,0,0,Jun,Q1,2019,Hanumakonda
19_3,2019-06-01,1994,26534317,0,0,Jun,Q1,2019,Mancherial
20_4,2019-06-01,2053,33732651,0,0,Jun,Q1,2019,Peddapalli
21_2,2019-06-01,1276,14677798,0,0,Jun,Q1,2019,Warangal
23_3,2019-06-01,9280,106077226,0,0,Jun,Q1,2019,Yadadri Bhuvanagiri
15_1,2019-06-01,24084,2089441609,0,0,Jun,Q1,2019,Rangareddy
14_3,2019-06-01,4267,29213266,0,0,Jun,Q1,2019,Nagarkurnool
21_5,2019-06-01,1392,18292822,0,0,Jun,Q1,2019,Mahabubabad
23_2,2019-06-01,3319,46934818,0,0,Jun,Q1,2019,Suryapet
17_2,2019-06-01,8251,388914751,0,0,Jun,Q1,2019,Sangareddy
19_4,2019-06-01,520,5626095,0,0,Jun,Q1,2019,Kumurambheem Asifabad
19_2,2019-06-01,1860,20888875,0,0,Jun,Q1,2019,Nirmal
14_4,2019-06-01,2527,17696126,0,0,Jun,Q1,2019,Wanaparthy
22_1,2019-06-01,5049,99823253,0,0,Jun,Q1,2019,Khammam
14_1,2019-06-01,3565,50331243,0,0,Jun,Q1,2019,Mahabubnagar
